Shipment ID,Shipment Date,Customer,Origin State,Destination State,Service Level,Parcel Type,Weight (kg),Length (cm),Width (cm),Height (cm),Selling Price (RM)
JEN1000000270MY,21-Jul-26,Hafiz,Sabah,WPKL,Economy,Small,1.67,15,11,2,8
JEN1000000271MY,21-Jul-26,Lee,Perak,Penang,Economy,Small,1.56,21,19,2,8
JEN1000000272MY,21-Jul-26,Nurul,Pahang,Perak,Economy,Small,1.32,19,17,5,8
JEN1000000273MY,21-Jul-26,Nurul,Perak,Kelantan,Economy,Small,0.24,15,12,9,8
JEN1000000274MY,21-Jul-26,Raj,Kelantan,Kelantan,Economy,Small,0.49,24,12,7,8
JEN1000000275MY,21-Jul-26,Ahmad,Sabah,Sarawak,Economy,Small,0.35,20,18,10,8
JEN1000000276MY,21-Jul-26,Siti,Sabah,Penang,Economy,Small,0.99,19,17,5,8
JEN1000000277MY,21-Jul-26,Lim,Selangor,WPKL,Economy,Small,0.65,21,19,8,8
JEN1000000278MY,21-Jul-26,Lee,Johor,Sabah,Economy,Small,1.87,20,13,4,8
JEN1000000279MY,21-Jul-26,Ahmad,Pahang,Kelantan,Economy,Small,1.05,19,17,2,8
JEN1000000280MY,21-Jul-26,Zana,Sarawak,Pahang,Economy,Small,0.97,18,13,7,8
JEN1000000281MY,21-Jul-26,Tan,WPKL,Perak,Economy,Small,1.04,25,20,9,8
JEN1000000282MY,21-Jul-26,Raj,Pahang,WPKL,Economy,Small,1.71,21,12,6,8
JEN1000000283MY,21-Jul-26,Lim,Sarawak,Sabah,Economy,Small,0.19,15,19,10,8
JEN1000000284MY,21-Jul-26,Aina,Sabah,Pahang,Economy,Small,0.65,21,18,9,8
JEN1000000285MY,21-Jul-26,Raj,Perak,Selangor,Economy,Small,0.34,16,16,7,8
JEN1000000286MY,21-Jul-26,Nurul,Pahang,Sabah,Economy,Small,1.53,18,19,10,8
JEN1000000287MY,21-Jul-26,Aina,Pahang,WPKL,Economy,Small,0.19,17,15,9,8
JEN1000000288MY,21-Jul-26,Hafiz,Kelantan,Johor,Economy,Small,1.25,23,12,7,8
JEN1000000289MY,21-Jul-26,Aina,Sabah,Johor,Economy,Small,0.85,24,14,7,8
JEN1000000290MY,21-Jul-26,Zana,Pahang,Pahang,Economy,Small,1.03,24,14,9,8
JEN1000000291MY,21-Jul-26,Zana,Sabah,Sabah,Economy,Small,1.38,21,19,6,8
JEN1000000292MY,21-Jul-26,Zana,Kelantan,Perak,Economy,Small,1.94,24,19,5,8
JEN1000000293MY,21-Jul-26,Lim,Kelantan,Johor,Economy,Small,1.1,24,16,4,8
JEN1000000294MY,21-Jul-26,Siti,WPKL,Selangor,Economy,Small,0.46,22,15,8,8
JEN1000000295MY,21-Jul-26,Siti,Sarawak,Penang,Economy,Small,0.88,24,17,2,8
JEN1000000296MY,21-Jul-26,Nurul,Pahang,Penang,Economy,Small,1.17,25,17,10,8
JEN1000000297MY,21-Jul-26,Raj,Sabah,Johor,Economy,Small,0.97,23,15,10,8
JEN1000000298MY,21-Jul-26,Tan,Perak,Kelantan,Economy,Small,0.47,18,14,10,8
JEN1000000299MY,21-Jul-26,Lee,Penang,Perak,Economy,Small,1.57,18,17,7,8
JEN1000000300MY,21-Jul-26,Hafiz,Sabah,Pahang,Economy,Small,1.87,19,14,3,8
JEN1000000301MY,21-Jul-26,Tan,Pahang,Sarawak,Economy,Small,1.8,21,15,4,8
JEN1000000302MY,21-Jul-26,Tan,WPKL,Perak,Economy,Small,1.92,16,15,9,8
JEN1000000303MY,21-Jul-26,Tan,Kelantan,Penang,Economy,Small,0.48,23,14,10,8
JEN1000000304MY,21-Jul-26,Zana,Johor,Selangor,Economy,Small,1.27,24,13,5,8
JEN1000000305MY,21-Jul-26,Raj,Pahang,Penang,Economy,Small,1.31,15,11,8,8
JEN1000000306MY,21-Jul-26,Siti,Kelantan,Selangor,Economy,Small,1.39,17,10,10,8
JEN1000000307MY,21-Jul-26,Tan,Sarawak,Kelantan,Economy,Small,1.01,18,14,7,8
JEN1000000308MY,21-Jul-26,Siti,WPKL,Selangor,Economy,Small,1.34,18,18,2,8
JEN1000000309MY,21-Jul-26,Siti,Sarawak,Johor,Economy,Small,1.87,15,16,9,8
JEN1000000310MY,21-Jul-26,Raj,Perak,WPKL,Economy,Small,0.12,24,19,3,8
JEN1000000311MY,21-Jul-26,Siti,Perak,Kelantan,Economy,Small,1.98,23,18,9,8
JEN1000000312MY,21-Jul-26,Lee,Pahang,Kelantan,Economy,Small,0.62,16,15,4,8
JEN1000000313MY,21-Jul-26,Siti,Perak,Johor,Economy,Small,0.13,20,14,5,8
JEN1000000314MY,21-Jul-26,Siti,Sarawak,Sarawak,Economy,Small,1.08,16,16,3,8
JEN1000000315MY,21-Jul-26,Nurul,Johor,Kelantan,Economy,Small,0.71,18,10,6,8
JEN1000000316MY,21-Jul-26,Tan,Penang,Kelantan,Economy,Small,1.53,20,14,2,8
JEN1000000317MY,21-Jul-26,Siti,Sabah,Penang,Economy,Small,0.22,16,17,6,8
JEN1000000318MY,21-Jul-26,Raj,Sarawak,Pahang,Economy,Small,1.85,19,11,6,8
JEN1000000319MY,21-Jul-26,Hafiz,Penang,Penang,Economy,Small,1.92,22,12,9,8
JEN1000000320MY,21-Jul-26,Lim,Sabah,Sarawak,Economy,Small,1.43,22,18,5,8
JEN1000000321MY,21-Jul-26,Zana,Selangor,Pahang,Economy,Small,0.95,20,11,3,8
JEN1000000322MY,21-Jul-26,Raj,Pahang,Pahang,Economy,Small,0.48,23,12,4,8
JEN1000000323MY,21-Jul-26,Ahmad,Pahang,Kelantan,Economy,Small,0.32,18,19,9,8
JEN1000000324MY,21-Jul-26,Nurul,Pahang,Kelantan,Economy,Small,1.64,22,12,10,8
JEN1000000325MY,21-Jul-26,Nurul,Kelantan,WPKL,Economy,Small,1.16,25,14,2,8
JEN1000000326MY,21-Jul-26,Nurul,Perak,WPKL,Economy,Small,1.52,24,11,2,8
JEN1000000327MY,21-Jul-26,Zana,Sabah,Selangor,Economy,Small,1.13,15,11,9,8
JEN1000000328MY,21-Jul-26,Raj,Perak,Sarawak,Economy,Small,0.44,17,20,8,8
JEN1000000329MY,21-Jul-26,Aina,Sarawak,Kelantan,Economy,Small,1.75,21,16,3,8
JEN1000000330MY,21-Jul-26,Siti,Johor,Sabah,Economy,Small,0.33,23,16,10,8
JEN1000000331MY,21-Jul-26,Nurul,Penang,WPKL,Economy,Small,1.54,19,17,10,8
JEN1000000332MY,21-Jul-26,Siti,Pahang,Sarawak,Economy,Small,1.66,18,17,7,8
JEN1000000333MY,21-Jul-26,Hafiz,Perak,Penang,Economy,Small,1.88,16,10,8,8
JEN1000000334MY,21-Jul-26,Lee,WPKL,Penang,Economy,Small,0.49,16,19,2,8
JEN1000000335MY,21-Jul-26,Aina,WPKL,Penang,Economy,Small,1.51,21,17,5,8
JEN1000000336MY,21-Jul-26,Hafiz,Penang,WPKL,Economy,Small,0.37,19,13,7,8
JEN1000000337MY,21-Jul-26,Lim,Sabah,Penang,Economy,Small,0.67,17,20,10,8
JEN1000000338MY,21-Jul-26,Nurul,Sarawak,Perak,Economy,Small,0.62,23,19,4,8
JEN1000000339MY,21-Jul-26,Aina,Pahang,Kelantan,Economy,Small,0.19,20,20,8,8
JEN1000000340MY,21-Jul-26,Aina,Sabah,Sarawak,Economy,Small,0.88,19,16,4,8
JEN1000000341MY,21-Jul-26,Zana,Kelantan,Penang,Economy,Small,1.71,19,12,9,8
JEN1000000342MY,21-Jul-26,Nurul,Pahang,Sarawak,Economy,Small,1.94,23,18,4,8
JEN1000000343MY,21-Jul-26,Raj,Penang,Perak,Economy,Small,0.49,25,11,9,8
JEN1000000344MY,21-Jul-26,Nurul,Selangor,Pahang,Economy,Small,1.48,18,10,6,8
JEN1000000345MY,21-Jul-26,Lim,WPKL,Selangor,Economy,Small,0.46,24,20,10,8
JEN1000000346MY,21-Jul-26,Lim,Kelantan,Penang,Economy,Small,1.75,20,14,2,8
JEN1000000347MY,21-Jul-26,Nurul,Penang,Selangor,Economy,Small,1.52,22,13,5,8
JEN1000000348MY,21-Jul-26,Aina,Penang,Pahang,Economy,Small,0.71,19,16,9,8
JEN1000000349MY,21-Jul-26,Ahmad,Sabah,Perak,Economy,Small,0.6,23,17,9,8
JEN1000000350MY,21-Jul-26,Zana,Kelantan,Sabah,Economy,Small,1.84,20,15,8,8
JEN1000000351MY,21-Jul-26,Tan,Penang,Johor,Economy,Small,0.13,23,19,8,8
JEN1000000352MY,21-Jul-26,Lee,Johor,Penang,Economy,Small,0.73,21,19,5,8
JEN1000000353MY,21-Jul-26,Lee,Pahang,Sabah,Economy,Small,0.59,22,20,9,8
JEN1000000354MY,21-Jul-26,Aina,Johor,Sabah,Economy,Small,0.42,23,17,4,8
JEN1000000355MY,21-Jul-26,Zana,WPKL,Pahang,Economy,Small,0.16,16,20,2,8
JEN1000000356MY,21-Jul-26,Zana,Sarawak,Johor,Economy,Small,1.7,18,11,4,8
JEN1000000357MY,21-Jul-26,Lee,Penang,Pahang,Economy,Small,0.97,15,19,9,8
JEN1000000358MY,21-Jul-26,Aina,WPKL,WPKL,Economy,Small,1.11,21,10,2,8
JEN1000000359MY,21-Jul-26,Siti,Perak,Pahang,Economy,Small,1.96,15,18,8,8
JEN1000000360MY,21-Jul-26,Tan,Selangor,Selangor,Economy,Small,1.1,18,13,10,8
JEN1000000361MY,21-Jul-26,Lee,Sabah,Perak,Economy,Small,1.61,16,15,8,8
JEN1000000362MY,21-Jul-26,Ahmad,Penang,Penang,Economy,Small,0.67,16,20,2,8
JEN1000000363MY,21-Jul-26,Siti,Sarawak,Sarawak,Economy,Small,0.82,22,10,2,8
JEN1000000364MY,21-Jul-26,Aina,Selangor,Kelantan,Economy,Small,1.71,25,15,3,8
JEN1000000365MY,21-Jul-26,Zana,WPKL,Penang,Economy,Small,0.5,24,17,6,8
JEN1000000366MY,21-Jul-26,Siti,Selangor,Perak,Economy,Small,1.81,24,20,2,8
JEN1000000367MY,21-Jul-26,Ahmad,Sabah,WPKL,Economy,Small,1.93,24,12,8,8
JEN1000000368MY,21-Jul-26,Raj,Perak,Johor,Economy,Small,1.17,24,16,10,8
JEN1000000369MY,21-Jul-26,Zana,Sarawak,Johor,Economy,Small,1.6,16,18,7,8
JEN1000000370MY,21-Jul-26,Raj,Selangor,Sarawak,Economy,Small,0.54,16,15,8,8
JEN1000000371MY,21-Jul-26,Raj,WPKL,Perak,Economy,Small,1.59,22,17,5,8
JEN1000000372MY,21-Jul-26,Ahmad,Pahang,Sarawak,Economy,Small,0.92,25,19,8,8
JEN1000000373MY,21-Jul-26,Nurul,Perak,Penang,Economy,Small,1.45,16,14,4,8
JEN1000000374MY,21-Jul-26,Tan,Johor,Sarawak,Economy,Small,0.7,16,11,2,8
JEN1000000375MY,21-Jul-26,Siti,Kelantan,Sabah,Economy,Small,1.55,16,12,3,8
JEN1000000376MY,21-Jul-26,Zana,Sarawak,Kelantan,Economy,Small,1.16,23,16,3,8
JEN1000000377MY,21-Jul-26,Nurul,Selangor,Sabah,Economy,Small,1.15,24,19,7,8
JEN1000000378MY,21-Jul-26,Hafiz,WPKL,Perak,Economy,Small,0.89,16,18,5,8
JEN1000000379MY,21-Jul-26,Tan,Pahang,Johor,Economy,Small,1.4,17,12,6,8
JEN1000000380MY,21-Jul-26,Nurul,Perak,Kelantan,Economy,Small,0.38,17,16,6,8
JEN1000000381MY,21-Jul-26,Lee,Perak,Kelantan,Economy,Small,1.59,20,14,5,8
JEN1000000382MY,21-Jul-26,Raj,Penang,Kelantan,Economy,Small,0.3,19,10,8,8
JEN1000000383MY,21-Jul-26,Tan,Sarawak,Sabah,Economy,Small,0.94,21,20,4,8
JEN1000000384MY,21-Jul-26,Tan,Sabah,Penang,Economy,Small,1.01,17,16,7,8
JEN1000000385MY,21-Jul-26,Ahmad,Kelantan,Penang,Economy,Small,0.72,19,16,7,8
JEN1000000386MY,21-Jul-26,Lim,Penang,Pahang,Economy,Small,0.44,23,10,9,8
JEN1000000387MY,21-Jul-26,Siti,Kelantan,Perak,Economy,Small,1.68,16,16,9,8
JEN1000000388MY,21-Jul-26,Ahmad,Perak,Penang,Economy,Small,0.58,17,16,8,8
JEN1000000389MY,21-Jul-26,Aina,Kelantan,Kelantan,Economy,Small,1.21,23,18,8,8
JEN1000000390MY,21-Jul-26,Ahmad,WPKL,Sabah,Economy,Small,1.43,23,19,3,8
JEN1000000391MY,21-Jul-26,Raj,Penang,Sabah,Economy,Small,0.42,24,10,8,8
JEN1000000392MY,21-Jul-26,Aina,Sarawak,Selangor,Economy,Small,0.12,19,13,10,8
JEN1000000393MY,21-Jul-26,Siti,Pahang,Penang,Economy,Small,0.95,21,17,10,8
JEN1000000394MY,21-Jul-26,Ahmad,Sabah,WPKL,Economy,Small,1.02,19,16,3,8
JEN1000000395MY,21-Jul-26,Lee,Johor,Sabah,Economy,Small,0.69,22,13,10,8
JEN1000000396MY,21-Jul-26,Tan,Sabah,Kelantan,Economy,Small,0.29,22,15,3,8
JEN1000000397MY,21-Jul-26,Siti,WPKL,Selangor,Economy,Small,0.14,20,20,3,8
JEN1000000398MY,21-Jul-26,Nurul,Penang,Pahang,Economy,Small,0.43,17,15,10,8
JEN1000000399MY,21-Jul-26,Nurul,Kelantan,Penang,Economy,Small,1.62,25,12,4,8
JEN1000000400MY,21-Jul-26,Nurul,Sarawak,WPKL,Economy,Small,1.5,18,17,8,8
JEN1000000401MY,21-Jul-26,Aina,WPKL,Penang,Economy,Small,0.49,16,19,3,8
JEN1000000402MY,21-Jul-26,Lee,Johor,Sabah,Economy,Small,0.72,22,11,6,8
JEN1000000403MY,21-Jul-26,Raj,Pahang,Sabah,Economy,Small,1.23,24,16,3,8
JEN1000000404MY,21-Jul-26,Siti,Sabah,Kelantan,Economy,Small,1.27,25,14,3,8
JEN1000000405MY,21-Jul-26,Siti,Sabah,Selangor,Economy,Small,0.55,16,12,7,8
JEN1000000406MY,21-Jul-26,Nurul,Pahang,Sarawak,Economy,Small,0.89,17,19,8,8
JEN1000000407MY,21-Jul-26,Siti,Johor,Kelantan,Economy,Small,1.31,25,12,10,8
JEN1000000408MY,21-Jul-26,Raj,Kelantan,Perak,Economy,Small,0.37,20,17,2,8
JEN1000000409MY,21-Jul-26,Lee,WPKL,Kelantan,Economy,Small,0.36,21,18,10,8
JEN1000000410MY,21-Jul-26,Ahmad,Sarawak,Kelantan,Economy,Small,0.89,22,17,4,8
JEN1000000411MY,21-Jul-26,Tan,WPKL,Penang,Economy,Small,0.65,19,13,10,8
JEN1000000412MY,21-Jul-26,Ahmad,Johor,Kelantan,Economy,Small,1.17,22,18,10,8
JEN1000000413MY,21-Jul-26,Lee,Selangor,Perak,Economy,Small,1.57,20,18,2,8
JEN1000000414MY,21-Jul-26,Tan,Pahang,Penang,Economy,Small,1.98,16,20,5,8
JEN1000000415MY,21-Jul-26,Lim,WPKL,Kelantan,Economy,Small,0.6,16,17,3,8
JEN1000000416MY,21-Jul-26,Siti,Penang,Sabah,Economy,Small,1.74,24,20,8,8
JEN1000000417MY,21-Jul-26,Aina,Johor,Penang,Economy,Small,1.65,15,19,7,8
JEN1000000418MY,21-Jul-26,Aina,Perak,Pahang,Economy,Small,0.42,19,14,6,8
JEN1000000419MY,21-Jul-26,Siti,Selangor,Johor,Economy,Small,1.93,21,10,6,8
JEN1000000420MY,21-Jul-26,Lee,Johor,Penang,Economy,Small,0.38,20,13,8,8
JEN1000000421MY,21-Jul-26,Ahmad,Johor,Perak,Economy,Small,1.29,21,17,3,8
JEN1000000422MY,21-Jul-26,Raj,Sarawak,Pahang,Economy,Small,1.52,20,17,9,8
JEN1000000423MY,21-Jul-26,Ahmad,WPKL,Selangor,Economy,Small,1.49,22,20,7,8
JEN1000000424MY,21-Jul-26,Tan,Pahang,Sarawak,Economy,Small,0.51,21,13,9,8
JEN1000000425MY,21-Jul-26,Raj,Sabah,Perak,Economy,Small,0.74,24,12,9,8
JEN1000000426MY,21-Jul-26,Siti,WPKL,WPKL,Economy,Small,0.29,22,10,3,8
JEN1000000427MY,21-Jul-26,Tan,Kelantan,Kelantan,Economy,Small,0.1,21,13,4,8
JEN1000000428MY,21-Jul-26,Raj,Johor,Perak,Economy,Small,0.28,20,14,3,8
JEN1000000429MY,21-Jul-26,Ahmad,Johor,WPKL,Economy,Small,0.85,19,13,8,8
JEN1000000430MY,21-Jul-26,Aina,Selangor,WPKL,Economy,Small,0.51,16,12,5,8
JEN1000000431MY,21-Jul-26,Siti,Kelantan,WPKL,Economy,Small,0.12,20,11,8,8
JEN1000000432MY,21-Jul-26,Raj,Kelantan,Selangor,Economy,Small,0.53,16,11,3,8
JEN1000000433MY,21-Jul-26,Ahmad,Sabah,Perak,Economy,Small,0.36,17,20,4,8
JEN1000000434MY,21-Jul-26,Lim,Pahang,WPKL,Economy,Small,1.26,17,17,7,8
JEN1000000435MY,21-Jul-26,Ahmad,Johor,Sarawak,Economy,Small,1.27,22,13,3,8
JEN1000000436MY,21-Jul-26,Raj,Johor,Selangor,Economy,Small,1.22,21,15,8,8
JEN1000000437MY,21-Jul-26,Hafiz,Johor,Penang,Economy,Small,0.63,16,13,10,8
JEN1000000438MY,21-Jul-26,Aina,Perak,WPKL,Economy,Small,1.71,25,14,5,8
JEN1000000439MY,21-Jul-26,Lim,Pahang,Penang,Economy,Small,1.52,19,20,2,8
JEN1000000440MY,21-Jul-26,Aina,Kelantan,Sarawak,Economy,Small,0.31,22,20,3,8
JEN1000000441MY,21-Jul-26,Raj,WPKL,Sabah,Economy,Small,1.87,17,16,8,8
JEN1000000442MY,21-Jul-26,Zana,Pahang,Johor,Economy,Small,1.55,16,10,3,8
JEN1000000443MY,21-Jul-26,Tan,Perak,Penang,Economy,Small,0.18,15,16,10,8
JEN1000000444MY,21-Jul-26,Aina,Pahang,Sarawak,Economy,Small,0.9,21,11,10,8
JEN1000000445MY,21-Jul-26,Siti,Johor,Perak,Economy,Small,0.26,16,18,5,8
JEN1000000446MY,21-Jul-26,Tan,Pahang,Sabah,Economy,Small,0.84,25,20,3,8
JEN1000000447MY,21-Jul-26,Lee,Sarawak,Penang,Economy,Small,0.21,16,16,3,8
JEN1000000448MY,21-Jul-26,Zana,WPKL,Perak,Economy,Small,1.37,25,12,3,8
JEN1000000449MY,21-Jul-26,Tan,Johor,WPKL,Economy,Small,0.41,20,18,10,8
JEN1000000450MY,21-Jul-26,Raj,Johor,Sabah,Economy,Small,0.34,19,11,2,8
JEN1000000451MY,21-Jul-26,Lee,Sarawak,Perak,Economy,Small,1.1,19,19,3,8
JEN1000000452MY,21-Jul-26,Raj,Kelantan,Pahang,Economy,Small,0.78,22,19,4,8
JEN1000000453MY,21-Jul-26,Lim,Johor,Perak,Economy,Small,1.57,24,20,3,8
JEN1000000454MY,21-Jul-26,Lee,Pahang,WPKL,Economy,Small,0.18,15,13,2,8
JEN1000000455MY,21-Jul-26,Nurul,Sabah,Sarawak,Economy,Small,1.85,17,10,10,8
JEN1000000456MY,21-Jul-26,Hafiz,Penang,Sabah,Economy,Small,0.57,20,14,3,8
JEN1000000457MY,21-Jul-26,Aina,Sabah,Selangor,Economy,Small,1.05,15,12,5,8
JEN1000000458MY,21-Jul-26,Raj,WPKL,Sarawak,Economy,Small,0.23,22,14,6,8
JEN1000000459MY,21-Jul-26,Hafiz,Selangor,Pahang,Economy,Small,0.97,20,13,6,8
JEN1000000460MY,21-Jul-26,Aina,Perak,Penang,Economy,Small,0.98,24,17,5,8
JEN1000000461MY,21-Jul-26,Aina,Penang,Johor,Economy,Small,0.11,21,10,5,8
JEN1000000462MY,21-Jul-26,Tan,Sabah,WPKL,Economy,Small,1.91,15,20,8,8
JEN1000000463MY,21-Jul-26,Zana,Selangor,Penang,Economy,Small,1.11,18,16,9,8
JEN1000000464MY,21-Jul-26,Raj,Johor,Perak,Economy,Small,0.28,18,18,8,8
JEN1000000465MY,21-Jul-26,Ahmad,Kelantan,Selangor,Economy,Small,1.2,23,12,8,8
JEN1000000466MY,21-Jul-26,Tan,WPKL,Sarawak,Economy,Small,1.36,17,13,6,8
JEN1000000467MY,21-Jul-26,Tan,Sabah,Sarawak,Economy,Small,1.43,20,15,9,8
JEN1000000468MY,21-Jul-26,Siti,Penang,Selangor,Economy,Small,1.89,17,19,3,8
JEN1000000469MY,21-Jul-26,Aina,Selangor,Johor,Economy,Small,0.95,20,16,3,8
JEN1000000470MY,21-Jul-26,Ahmad,Sabah,Penang,Economy,Small,0.96,22,14,3,8
JEN1000000471MY,21-Jul-26,Raj,Johor,Perak,Economy,Small,1.67,24,10,5,8
JEN1000000472MY,21-Jul-26,Zana,Johor,Selangor,Economy,Small,1.45,20,16,10,8
JEN1000000473MY,21-Jul-26,Lee,Perak,Perak,Economy,Small,1.66,17,10,8,8
JEN1000000474MY,21-Jul-26,Ahmad,Pahang,Pahang,Economy,Small,0.57,22,11,4,8
JEN1000000475MY,21-Jul-26,Nurul,WPKL,WPKL,Economy,Small,1.68,18,12,5,8
JEN1000000476MY,21-Jul-26,Ahmad,Sabah,Selangor,Economy,Small,1.21,19,11,2,8
JEN1000000477MY,21-Jul-26,Zana,Penang,Kelantan,Economy,Small,1.64,16,15,3,8
JEN1000000478MY,21-Jul-26,Lee,Kelantan,WPKL,Economy,Small,0.42,24,16,8,8
JEN1000000479MY,21-Jul-26,Siti,WPKL,Sarawak,Economy,Small,1.4,17,15,5,8
JEN1000000480MY,21-Jul-26,Tan,Perak,Perak,Economy,Small,0.95,17,10,5,8
JEN1000000481MY,21-Jul-26,Tan,Kelantan,Sarawak,Economy,Small,1.78,22,10,3,8
JEN1000000482MY,21-Jul-26,Aina,Sarawak,Johor,Economy,Small,0.9,25,18,5,8
JEN1000000483MY,21-Jul-26,Lee,WPKL,Sarawak,Economy,Small,1.59,20,17,10,8
JEN1000000484MY,21-Jul-26,Raj,Sabah,Pahang,Economy,Small,0.71,19,12,2,8
JEN1000000485MY,21-Jul-26,Aina,Penang,WPKL,Economy,Small,1.8,19,10,9,8
JEN1000000486MY,21-Jul-26,Tan,Sabah,Penang,Economy,Small,1.95,16,13,5,8
JEN1000000487MY,21-Jul-26,Raj,Pahang,WPKL,Economy,Small,1.55,18,19,8,8
JEN1000000488MY,21-Jul-26,Raj,Johor,Johor,Economy,Small,0.55,20,15,2,8
JEN1000000489MY,21-Jul-26,Siti,Johor,Penang,Economy,Small,1.69,22,18,6,8
JEN1000000490MY,21-Jul-26,Zana,Kelantan,WPKL,Economy,Small,0.27,18,19,5,8
JEN1000000491MY,21-Jul-26,Raj,Pahang,Kelantan,Economy,Small,0.1,24,13,4,8
JEN1000000492MY,21-Jul-26,Ahmad,Johor,Sabah,Economy,Small,0.21,17,19,4,8
JEN1000000493MY,21-Jul-26,Hafiz,Pahang,Sabah,Economy,Small,1.93,20,20,8,8
JEN1000000494MY,21-Jul-26,Lee,Selangor,Sabah,Economy,Small,0.67,17,12,8,8
JEN1000000495MY,21-Jul-26,Lim,Sabah,Johor,Economy,Small,1.44,23,19,7,8
JEN1000000496MY,21-Jul-26,Zana,Johor,Sarawak,Economy,Small,0.68,19,12,4,8
JEN1000000497MY,21-Jul-26,Hafiz,Sarawak,WPKL,Economy,Small,0.45,20,19,5,8
JEN1000000498MY,21-Jul-26,Raj,Selangor,Kelantan,Economy,Small,0.37,16,13,7,8
JEN1000000499MY,21-Jul-26,Lee,Johor,Selangor,Economy,Small,1.66,25,20,7,8
JEN1000000500MY,21-Jul-26,Ahmad,WPKL,Perak,Economy,Small,0.5,16,15,6,8
JEN1000000501MY,21-Jul-26,Lee,WPKL,WPKL,Economy,Small,0.83,21,12,8,8
JEN1000000502MY,21-Jul-26,Siti,Sarawak,Sabah,Economy,Small,1.14,16,17,5,8
JEN1000000503MY,21-Jul-26,Raj,Kelantan,Selangor,Economy,Small,1.62,15,14,2,8
JEN1000000504MY,21-Jul-26,Ahmad,Perak,Selangor,Economy,Small,0.24,17,16,4,8
JEN1000000505MY,21-Jul-26,Nurul,Pahang,Selangor,Economy,Small,0.74,24,17,2,8
JEN1000000506MY,21-Jul-26,Lim,Johor,Sarawak,Economy,Small,0.4,16,15,5,8
JEN1000000507MY,21-Jul-26,Tan,Sarawak,Pahang,Economy,Small,1.47,23,14,6,8
JEN1000000508MY,21-Jul-26,Siti,Penang,Selangor,Economy,Small,0.19,24,18,9,8
JEN1000000509MY,21-Jul-26,Lim,WPKL,Sabah,Economy,Small,0.11,16,14,9,8
JEN1000000510MY,21-Jul-26,Lee,Selangor,WPKL,Economy,Small,0.49,25,14,3,8
JEN1000000511MY,21-Jul-26,Ahmad,Selangor,Perak,Economy,Small,1.59,22,17,6,8
JEN1000000512MY,21-Jul-26,Lee,Pahang,Sarawak,Economy,Small,0.45,21,15,4,8
JEN1000000513MY,21-Jul-26,Hafiz,WPKL,Perak,Economy,Small,0.94,19,13,6,8
JEN1000000514MY,21-Jul-26,Raj,WPKL,Johor,Economy,Small,1.53,25,11,3,8
JEN1000000515MY,21-Jul-26,Zana,Pahang,Sarawak,Economy,Small,1.94,24,13,10,8
JEN1000000516MY,21-Jul-26,Hafiz,Sarawak,Pahang,Economy,Small,0.9,23,20,9,8
JEN1000000517MY,21-Jul-26,Hafiz,Penang,Kelantan,Economy,Small,0.67,21,10,10,8
JEN1000000518MY,21-Jul-26,Lim,Pahang,Johor,Economy,Small,0.33,22,12,4,8
JEN1000000519MY,21-Jul-26,Lim,Penang,Johor,Economy,Small,0.18,16,20,8,8
JEN1000000520MY,21-Jul-26,Aina,Johor,Perak,Economy,Small,0.71,16,11,8,8
JEN1000000521MY,21-Jul-26,Zana,Sarawak,Pahang,Economy,Small,0.72,19,18,9,8
JEN1000000522MY,21-Jul-26,Ahmad,Pahang,Sarawak,Economy,Small,0.31,17,12,3,8
JEN1000000523MY,21-Jul-26,Nurul,Selangor,Perak,Economy,Small,1.75,20,16,6,8
JEN1000000524MY,21-Jul-26,Hafiz,Kelantan,Kelantan,Economy,Small,0.17,19,16,4,8
JEN1000000525MY,21-Jul-26,Lee,Sarawak,WPKL,Economy,Small,0.85,20,13,2,8
JEN1000000526MY,21-Jul-26,Lee,Perak,Sabah,Economy,Small,0.14,19,14,6,8
JEN1000000527MY,21-Jul-26,Nurul,Selangor,Penang,Economy,Small,0.36,22,15,6,8
JEN1000000528MY,21-Jul-26,Raj,Selangor,Penang,Economy,Small,0.94,21,17,10,8
JEN1000000529MY,21-Jul-26,Nurul,WPKL,Pahang,Economy,Small,1.6,16,14,10,8
JEN1000000530MY,21-Jul-26,Lim,Johor,Pahang,Economy,Small,1.77,15,12,5,8
JEN1000000531MY,21-Jul-26,Tan,WPKL,Penang,Economy,Small,0.16,15,15,5,8
JEN1000000532MY,21-Jul-26,Lim,Sabah,Kelantan,Economy,Small,1.06,25,11,2,8
JEN1000000533MY,21-Jul-26,Raj,Sabah,Kelantan,Economy,Small,1.23,17,17,10,8
JEN1000000534MY,21-Jul-26,Zana,Sabah,Johor,Economy,Small,1.69,19,11,6,8
JEN1000000535MY,21-Jul-26,Lim,Sarawak,WPKL,Economy,Small,0.41,24,13,5,8
JEN1000000536MY,21-Jul-26,Lee,Penang,Perak,Economy,Small,1.34,23,10,2,8
JEN1000000537MY,21-Jul-26,Hafiz,Johor,Johor,Economy,Small,1.24,15,13,6,8
JEN1000000538MY,21-Jul-26,Tan,Perak,Perak,Economy,Small,0.91,21,15,9,8
JEN1000000539MY,21-Jul-26,Hafiz,Penang,Kelantan,Economy,Small,0.67,23,19,8,8
JEN1000000540MY,21-Jul-26,Hafiz,Selangor,WPKL,Economy,Small,1.07,25,15,10,8
JEN1000000541MY,21-Jul-26,Tan,Perak,Perak,Economy,Small,1.4,22,11,7,8
